entity_id	valid	rejected	polled	electors	NDF	UPFA	PNF	ONF	UPF	SLLP	ULPP	I-AMI	FSP	USP	NSH	SEP	I-AP	NSSP	AACAAKO	JSP	DNM	ULGC	SLNF
EC-01	1296359.9999999984	15334.000000000007	1311694.0000000002	1612659.9999999998	725073.0000000001	562613.9999999999	943.0000000000003	715.9999999999993	978.0000000000001	1006.9999999999994	785.9999999999995	702.0000000000003	714.9999999999993	524.9999999999993	320.99999999999983	346.0000000000001	273.9999999999998	235.9999999999999	213.99999999999986	479.00000000000045	181.00000000000003	123.99999999999996	126.00000000000007
EC-01A	68649.0	1146.0	69795.0	89771.0	51537.0	16423.0	61.00000000000001	47.99999999999999	90.0	100.99999999999999	75.0	58.99999999999999	39.00000000000001	50.00000000000001	25.000000000000004	29.0	25.000000000000004	28.0	17.0	9.999999999999998	15.0	8.0	9.0
EC-01B	101497.0	1237.0000000000002	102733.99999999997	131482.0	82495.0	17778.999999999993	72.99999999999999	39.0	298.00000000000006	185.00000000000003	131.00000000000003	120.00000000000001	59.0	69.0	43.0	31.999999999999993	44.00000000000001	25.000000000000004	26.0	22.000000000000004	19.0	20.999999999999996	17.000000000000004
EC-01C	46990.0	547.0	47536.99999999999	60108.99999999999	31469.0	15148.000000000002	37.0	30.0	36.00000000000001	78.0	37.0	31.000000000000004	22.0	21.0	7.0	16.0	7.0	10.0	15.0	16.0	5.0	3.0	2.0
EC-01D	52137.0	668.0	52804.99999999999	66940.99999999999	35167.0	16601.0	22.999999999999996	32.0	32.0	47.0	33.0	24.999999999999996	31.0	36.0	16.0	21.0	13.999999999999998	18.0	11.0	13.0	2.9999999999999996	9.0	5.0
EC-01E	30275.0	325.0	30600.0	40609.0	23915.0	6163.999999999999	12.0	13.0	14.0	21.0	15.0	12.0	8.0	19.0	11.0	12.0	9.0	22.0	6.0	8.0	8.0	2.0	4.0
EC-01F	47169.0	599.0	47768.000000000015	59812.00000000001	30955.0	15932.000000000002	32.0	14.000000000000004	39.0	34.0	17.0	28.000000000000007	26.000000000000004	9.000000000000002	6.000000000000002	12.000000000000004	8.0	14.000000000000004	5.0	21.000000000000004	9.000000000000002	5.0	3.000000000000001
EC-01G	53004.0	679.9999999999999	53684.000000000015	66793.0	29553.999999999996	23144.0	30.000000000000007	30.999999999999996	25.999999999999996	29.000000000000004	25.0	18.0	29.000000000000004	22.0	9.0	15.000000000000004	11.0	10.0	10.0	24.0	7.0	3.0	7.0
EC-01H	97336.0	1275.0	98611.00000000001	120616.99999999999	56835.0	39766.999999999985	79.99999999999999	50.000000000000014	128.99999999999997	90.0	86.00000000000001	61.99999999999998	45.99999999999999	27.000000000000004	21.999999999999993	28.0	21.0	15.000000000000002	18.0	38.00000000000001	8.000000000000002	4.000000000000001	9.999999999999998
EC-01I	59588.00000000001	703.0000000000001	60290.99999999999	74933.99999999999	34614.0	24662.999999999996	38.99999999999999	33.0	16.999999999999996	41.0	26.999999999999996	16.999999999999996	22.0	22.0	6.999999999999999	10.0	6.999999999999999	5.999999999999999	11.999999999999998	27.999999999999996	13.999999999999998	5.999999999999999	2.9999999999999996
EC-01J	140642.00000000003	1534.0000000000002	142176.00000000006	173354.99999999997	68886.0	70970.0	84.00000000000001	84.00000000000001	57.0	70.00000000000001	81.00000000000004	63.99999999999999	80.0	41.00000000000001	35.00000000000001	31.000000000000007	26.999999999999996	7.999999999999999	15.0	74.99999999999999	18.000000000000004	10.999999999999998	5.0
