entity_id	valid	rejected	polled	electors	PA	UNP	JVP	NUA	SU	TULF	EPDP	NLF	IG2	ACTC	TELO	CWC	DPLF	PP	IG1	L&DA	SMBP	IG3	IG4	TNUoW	TLP	DUNF	IG5	ULF	ESMS	IG6	MULF	IG7	NPP	SLMK	PFF	SLPF	PLSF	JSP	RJP	SEP	IG9	IG8
EC-01	0.0	0.0	0.0	0.0	394145.9999999999	440683.9999999995	78132.99999999999	27067.0	49670.999999999956	0	0	3876.9999999999995	356.9999999999998	5238.000000000001	0	4588.000000000005	0	2878.9999999999973	75.00000000000004	0	1227.999999999999	807.9999999999994	108.99999999999997	0	497.0000000000002	355.0000000000003	179.00000000000009	683.9999999999998	0	0	1320.9999999999998	0	1399.999999999999	243.99999999999974	57.99999999999997	90.00000000000003	0	0	143.00000000000009	389.00000000000045	0	0
EC-01A	0.0	0.0	0.0	0.0	13422.0	33212.0	2031.0	3149.0000000000005	1043.0	0	0	282.00000000000006	46.0	910.0	0	1099.0	0	155.0	5.999999999999999	0	23.0	23.999999999999996	2.9999999999999996	0	4.999999999999999	17.0	9.0	46.99999999999999	0	0	60.0	0	49.0	35.0	4.0	5.999999999999999	0	0	2.9999999999999996	8.0	0	0
EC-01B	0.0	0.0	0.0	0.0	20414.0	57578.0	2805.999999999999	16420.0	1683.0	0	0	378.00000000000006	97.99999999999997	747.0	0	1246.9999999999998	0	1236.0	6.999999999999998	0	46.00000000000001	75.00000000000003	6.999999999999998	0	15.999999999999996	23.999999999999993	19.0	80.00000000000001	0	0	797.0000000000001	0	95.99999999999997	40.00000000000001	2.999999999999999	48.999999999999986	0	0	15.999999999999996	26.0	0	0
EC-01C	0.0	0.0	0.0	0.0	14025.0	19588.0	1990.0	1441.0	2106.0	0	0	163.0	56.0	135.99999999999997	0	210.00000000000003	0	143.0	2.0	0	37.0	14.0	6.0	0	29.0	16.0	11.0	22.0	0	0	54.0	0	42.0	8.0	1.0	2.0	0	0	11.0	16.999999999999996	0	0
EC-01D	0.0	0.0	0.0	0.0	13922.0	22231.999999999996	2844.0	534.0	2939.0	0	0	231.0	15.0	927.0	0	411.0	0	169.0	4.0	0	52.0	9.0	6.999999999999999	0	35.0	13.0	4.0	26.999999999999996	0	0	30.0	0	97.0	29.0	1.0	1.0	0	0	33.0	24.999999999999996	0	0
EC-01E	0.0	0.0	0.0	0.0	4998.999999999999	15480.000000000002	709.0	925.0	1418.0	0	0	253.00000000000003	8.0	1371.0	0	289.0	0	91.0	3.0	0	22.0	21.0	6.0	0	88.0	7.0	5.0	15.0	0	0	15.0	0	105.0	36.0	4.0	1.0	0	0	4.0	14.0	0	0
EC-01F	0.0	0.0	0.0	0.0	14382.000000000002	19646.000000000004	2556.0	977.0	3200.0	0	0	194.0	4.0	621.9999999999999	0	122.0	0	59.000000000000014	3.000000000000001	0	57.0	50.0	4.0	0	36.00000000000001	14.000000000000004	4.0	23.000000000000004	0	0	25.0	0	82.0	23.000000000000004	2.0	4.0	0	0	2.0	20.0	0	0
EC-01G	0.0	0.0	0.0	0.0	17886.000000000004	18556.0	4454.0	548.0	3356.0	0	0	154.0	8.000000000000002	210.0	0	59.0	0	81.0	6.0	0	72.99999999999999	421.0	8.000000000000002	0	57.00000000000001	16.000000000000004	12.0	28.0	0	0	44.0	0	90.99999999999999	12.999999999999998	3.0	2.0000000000000004	0	0	4.000000000000001	25.999999999999996	0	0
EC-01H	0.0	0.0	0.0	0.0	32394.0	30522.000000000007	5741.0	1688.9999999999995	2604.0000000000005	0	0	203.99999999999994	18.0	16.000000000000004	0	204.99999999999997	0	116.99999999999997	1.0000000000000002	0	72.0	12.0	2.0000000000000004	0	10.999999999999996	26.0	14.0	34.99999999999999	0	0	54.00000000000001	0	77.0	6.0	3.0	4.999999999999999	0	0	7.0	30.000000000000004	0	0
EC-01I	0.0	0.0	0.0	0.0	20248.999999999996	22207.0	3566.0	266.00000000000006	4880.999999999999	0	0	154.99999999999997	26.999999999999996	19.000000000000004	0	41.0	0	119.99999999999997	4.0	0	87.0	16.999999999999996	9.0	0	33.0	18.0	11.999999999999998	27.999999999999996	0	0	16.0	0	106.00000000000001	8.0	2.0	2.0	0	0	5.999999999999999	21.000000000000004	0	0
EC-01J	0.0	0.0	0.0	0.0	43474.0	35792.00000000001	11268.0	107.99999999999999	4701.0	0	0	278.99999999999994	9.000000000000002	10.999999999999998	0	12.000000000000002	0	87.00000000000001	6.999999999999999	0	136.00000000000003	20.0	6.000000000000001	0	40.0	31.999999999999996	13.999999999999998	68.00000000000001	0	0	31.999999999999996	0	126.99999999999996	6.000000000000001	3.0000000000000004	5.0	0	0	6.999999999999999	38.00000000000001	0	0
EC-01K	0.0	0.0	0.0	0.0	33985.99999999998	26671.000000000007	4434.0	316.0000000000001	1086.0000000000005	0	0	369.0	5.000000000000001	26.000000000000007	0	832.0000000000002	0	71.99999999999999	3.9999999999999996	0	64.99999999999999	21.000000000000014	7.999999999999999	0	16.999999999999996	29.99999999999999	14.999999999999995	70.00000000000001	0	0	38.99999999999999	0	31.999999999999996	6.000000000000002	8.999999999999998	1.9999999999999998	0	0	6.000000000000002	8.999999999999998	0	0
EC-01L	0.0	0.0	0.0	0.0	41330.00000000001	33930.0	8758.000000000002	39.00000000000001	3283.000000000001	0	0	350.0000000000001	11.000000000000002	9.999999999999998	0	11.000000000000002	0	96.99999999999997	8.0	0	101.00000000000009	28.0	8.999999999999998	0	18.999999999999996	39.00000000000001	17.999999999999996	95.0	0	0	50.00000000000002	0	70.99999999999999	9.999999999999998	4.999999999999999	3.0	0	0	6.0	8.0	0	0
EC-01M	0.0	0.0	0.0	0.0	36994.99999999999	28952.000000000007	8174.000000000001	93.0	6302.000000000001	0	0	252.00000000000006	32.0	9.0	0	2.999999999999999	0	127.00000000000001	6.999999999999998	0	148.99999999999997	23.000000000000007	11.999999999999996	0	40.00000000000001	32.0	17.0	59.00000000000001	0	0	25.0	0	147.99999999999994	5.000000000000001	9.0	2.0	0	0	5.999999999999998	45.000000000000014	0	0
EC-01N	0.0	0.0	0.0	0.0	41977.000000000015	34978.00000000001	10218.999999999998	32.999999999999986	6211.000000000001	0	0	335.9999999999999	11.000000000000002	2.9999999999999996	0	16.000000000000004	0	98.99999999999994	6.999999999999999	0	199.99999999999994	26.999999999999996	13.999999999999998	0	39.99999999999999	37.99999999999999	14.999999999999998	49.999999999999986	0	0	55.99999999999999	0	123.0	9.999999999999998	4.999999999999999	1.0000000000000002	0	0	23.0	41.00000000000001	0	0
EC-01O	0.0	0.0	0.0	0.0	36883.0	35570.00000000002	6849.000000000001	478.0	3721.0	0	0	231.00000000000003	7.000000000000001	170.99999999999994	0	10.0	0	200.99999999999997	6.000000000000001	0	56.99999999999999	40.0	3.0000000000000004	0	31.000000000000004	28.000000000000004	10.0	31.000000000000004	0	0	22.000000000000004	0	121.99999999999999	7.000000000000001	2.0	4.0	0	0	9.0	52.0	0	0
EC-01P	0	0	0	0	7808	5770	1734	51	1137	0	0	46	2	50	0	21	0	25	0	0	51	6	5	0	0	5	0	6	0	0	2	0	32	2	2	1	0	0	0	9	0	0
EC-02	0.0	0.0	0.0	0.0	470018.00000000064	378327.99999999994	73109.99999999996	11012.999999999998	20297.000000000004	0	0	3502.0	137.0	0	0	0	0	774.0	269.9999999999999	0	1463.0000000000025	265.0000000000001	176.99999999999991	0	231.99999999999997	473.00000000000006	233.0000000000003	1093.0000000000016	0	0	0	0	0	0	98.99999999999997	148.9999999999998	0	0	75.99999999999997	0	0	0
EC-02A	0.0	0.0	0.0	0.0	29014.99999999999	32570.0	4146.0	191.00000000000006	1320.0	0	0	226.00000000000003	7.999999999999999	0	0	0	0	57.0	21.999999999999996	0	66.99999999999999	19.00000000000001	8.999999999999998	0	12.999999999999998	26.999999999999996	12.000000000000005	78.0	0	0	0	0	0	0	0.9999999999999999	6.999999999999999	0	0	15.0	0	0	0
EC-02B	0.0	0.0	0.0	0.0	24825.999999999993	28983.000000000004	2557.0000000000005	2596.0000000000005	974.9999999999997	0	0	284.99999999999994	8.999999999999996	0	0	0	0	30.000000000000004	17.0	0	35.999999999999986	13.000000000000002	8.0	0	21.999999999999993	28.000000000000007	12.0	67.0	0	0	0	0	0	0	1.0	12.0	0	0	5.000000000000001	0	0	0
EC-02C	0.0	0.0	0.0	0.0	42316.000000000015	30156.999999999996	3905.9999999999995	223.00000000000014	1577.9999999999995	0	0	313.99999999999994	6.999999999999998	0	0	0	0	48.000000000000014	26.999999999999996	0	50.00000000000001	30.999999999999986	13.999999999999996	0	26.999999999999996	36.99999999999999	17.000000000000004	80.0	0	0	0	0	0	0	5.0	12.000000000000004	0	0	6.999999999999998	0	0	0
EC-02D	0.0	0.0	0.0	0.0	32294.0	28894.0	3288.999999999999	17.0	658.0000000000001	0	0	253.99999999999994	10.999999999999996	0	0	0	0	34.0	10.999999999999996	0	51.99999999999999	27.0	12.0	0	21.0	25.00000000000003	29.0	98.00000000000001	0	0	0	0	0	0	3.0	8.999999999999993	0	0	0.9999999999999999	0	0	0
EC-02E	0.0	0.0	0.0	0.0	33115.99999999999	30025.0	6732.000000000001	982.0	813.0000000000001	0	0	310.0000000000002	5.999999999999998	0	0	0	0	68.99999999999997	23.999999999999993	0	94.00000000000006	12.999999999999998	16.999999999999996	0	18.999999999999993	34.99999999999999	29.000000000000014	102.0	0	0	0	0	0	0	6.999999999999999	7.999999999999997	0	0	3.9999999999999987	0	0	0
EC-02F	0.0	0.0	0.0	0.0	38350.00000000003	30024.99999999998	6148.000000000002	411.0	1529.9999999999998	0	0	272.0	11.000000000000002	0	0	0	0	55.00000000000001	24.00000000000002	0	230.99999999999994	24.00000000000002	13.0	0	14.000000000000002	48.00000000000004	23.00000000000001	96.00000000000009	0	0	0	0	0	0	9.000000000000004	7.9999999999999964	0	0	5.000000000000003	0	0	0
EC-02G	0.0	0.0	0.0	0.0	42537.000000000015	23248.0	6229.000000000001	3474.9999999999995	1315.0000000000005	0	0	286.0	11.000000000000002	0	0	0	0	80.99999999999997	28.999999999999996	0	122.99999999999997	29.999999999999986	19.0	0	14.999999999999993	51.99999999999999	15.999999999999996	85.99999999999996	0	0	0	0	0	0	9.999999999999996	33.999999999999986	0	0	3.999999999999999	0	0	0
EC-02H	0.0	0.0	0.0	0.0	45393.99999999999	27794.000000000007	8284.0	40.00000000000001	2433.9999999999986	0	0	291.0	21.000000000000007	0	0	0	0	105.0	20.000000000000004	0	158.0	25.0	17.000000000000007	0	17.000000000000007	54.0	11.000000000000004	68.00000000000003	0	0	0	0	0	0	10.000000000000002	13.000000000000002	0	0	11.000000000000004	0	0	0
EC-02I	0.0	0.0	0.0	0.0	38150.0	33088.99999999999	6198.0	47.00000000000001	2180.0	0	0	261.0	9.000000000000002	0	0	0	0	47.00000000000001	22.999999999999996	0	67.99999999999999	12.0	7.000000000000001	0	10.0	28.99999999999999	12.0	72.00000000000001	0	0	0	0	0	0	12.999999999999998	6.0	0	0	6.0	0	0	0
