entity_id	valid	rejected	polled	electors	UPFA	NDF	DUNF	JSP	UDF	Ind 1	SLLP	NSH	Ind 5	Ind 3	ONF	USP	LF	Ind 2	SEP	NA	Ind 4	JP	PNF	RPP	UNAF	ACAKO
EC-01	1161382.0	11394.0	1172775.9999999993	1541241.9999999995	614739.9999999999	533021.9999999999	1606.0000000000007	1539.9999999999989	1579.0	1219.000000000001	1798.0000000000002	629.0000000000001	547.9999999999995	599.9999999999995	679.9999999999997	544.0000000000003	1052.0000000000002	436.99999999999983	337.9999999999998	168.99999999999986	154.00000000000003	175.99999999999991	135.99999999999994	143.0000000000002	144.00000000000006	127.99999999999991
EC-01A	61715.00000000001	1022.0000000000001	62737.0	95385.0	17605.0	42896.00000000001	197.0	72.0	222.00000000000003	57.0	99.00000000000001	89.00000000000003	85.99999999999999	26.0	79.99999999999999	42.99999999999999	112.0	29.0	32.0	11.999999999999998	9.999999999999998	9.0	8.0	7.0	9.999999999999998	14.0
EC-01B	96826.00000000003	1320.0	98145.99999999999	139821.99999999997	21823.999999999996	73151.99999999999	259.0	95.99999999999997	386.9999999999999	67.0	169.99999999999997	104.99999999999999	81.0	48.999999999999986	134.0	86.0	113.00000000000001	72.99999999999999	31.999999999999993	44.999999999999986	30.000000000000004	23.000000000000004	23.000000000000004	25.000000000000004	28.99999999999999	23.000000000000004
EC-01C	41132.0	543.0	41675.0	58757.0	16909.0	23636.000000000004	67.0	33.99999999999999	65.0	46.99999999999999	109.0	29.0	28.0	28.0	33.99999999999999	23.0	46.0	16.0	11.0	7.0	7.0	7.0	6.0	8.0	7.0	8.0
EC-01D	48295.0	698.9999999999999	48994.00000000001	68643.0	19106.999999999996	28334.0	80.99999999999999	43.0	74.0	30.0	207.0	30.0	66.0	31.0	38.0	44.0	109.0	19.0	24.999999999999996	13.0	4.0	13.999999999999998	4.0	2.9999999999999996	13.999999999999998	5.0
EC-01E	26029.999999999996	443.99999999999994	26474.0	38921.0	6349.999999999999	19211.0	45.0	20.0	43.0	18.0	33.0	19.0	63.0	29.0	18.0	10.0	104.0	12.0	21.0	5.0	5.0	1.0	5.0	5.0	8.0	5.0
EC-01F	44383.0	465.0	44848.000000000015	61193.99999999999	19457.0	24441.0	52.00000000000001	34.0	33.0	39.0	63.00000000000001	22.0	43.00000000000001	25.0	18.000000000000004	14.000000000000004	73.0	19.0	12.000000000000004	8.0	7.000000000000002	6.000000000000002	5.0	2.0	5.0	5.0
EC-01G	49315.99999999999	512.0000000000001	49828.00000000001	66622.0	26215.0	22589.0	46.0	59.0	44.0	45.0	71.0	22.0	17.0	22.0	24.0	22.0	54.99999999999999	24.0	17.0	10.0	7.0	7.0	6.0	3.0	7.0	4.000000000000001
EC-01H	86486.00000000001	892.9999999999998	87379.0	112362.99999999999	46002.0	39497.00000000001	135.0	106.00000000000001	120.00000000000001	96.0	177.99999999999997	47.00000000000002	15.000000000000002	28.0	62.99999999999999	38.99999999999999	43.00000000000001	36.0	16.999999999999996	15.000000000000002	7.0	9.999999999999998	7.0	14.0	7.0	4.000000000000001
EC-01I	55824.99999999999	557.0	56382.0	73009.0	29125.000000000004	26129.0	55.00000000000001	44.99999999999999	46.0	55.99999999999999	135.99999999999997	19.000000000000004	10.0	33.0	31.000000000000004	23.999999999999996	50.99999999999999	16.0	9.0	4.0	2.0	8.0	10.0	4.0	5.999999999999999	5.999999999999999
EC-01J	122276.00000000004	850.0	123126.00000000003	158735.99999999997	76103.00000000001	45082.00000000001	126.99999999999996	178.99999999999997	104.99999999999997	132.0	124.00000000000003	45.00000000000001	20.0	74.99999999999999	40.0	45.00000000000001	46.99999999999999	41.00000000000001	26.0	7.999999999999999	18.000000000000004	17.000000000000004	10.999999999999998	13.0	10.999999999999998	6.999999999999999
EC-01K	83732.00000000001	689.0	84421.00000000001	108138.0	53664.0	28874.999999999985	151.0	215.00000000000006	128.99999999999991	148.0	93.99999999999996	42.00000000000003	42.00000000000003	52.000000000000014	42.99999999999999	56.0	67.99999999999999	37.0	29.99999999999999	8.999999999999998	13.000000000000004	12.000000000000004	15.999999999999998	16.999999999999996	10.000000000000002	8.999999999999998
EC-01L	121279.0	770.0	122048.99999999997	155719.9999999999	80799.00000000001	39414.000000000015	142.99999999999997	216.99999999999994	84.0	130.99999999999997	115.00000000000001	39.00000000000001	22.99999999999999	52.000000000000014	42.0	37.0	52.000000000000014	33.0	24.0	9.999999999999998	13.000000000000004	17.999999999999996	7.0	11.000000000000002	7.0	8.0
EC-01M	95255.0	767.9999999999998	96023.00000000001	121247.00000000004	59360.0	35161.99999999999	65.0	102.99999999999999	50.99999999999999	109.0	107.00000000000001	30.0	17.0	40.00000000000001	23.000000000000007	28.999999999999993	49.00000000000001	23.000000000000007	26.0	4.0	9.0	13.0	10.000000000000002	5.999999999999998	11.999999999999996	6.999999999999998
EC-01N	119005.99999999999	802.9999999999999	119809.0	148696.0	77474.00000000004	40473.999999999985	106.0	189.0	83.00000000000004	133.99999999999997	133.99999999999997	53.0	16.000000000000004	70.0	49.999999999999986	32.999999999999986	47.0	32.999999999999986	34.00000000000001	6.999999999999999	9.999999999999998	18.999999999999996	11.000000000000002	12.999999999999996	6.999999999999999	9.0
