entity_id	valid	rejected	polled	electors	UPFA	UNP	ITAK	JHU	SLMC	UPF	EPDP	JSP	USP	CDUA	NLF	DPLF	IP1D	UMPA	ULF	IP7D	NPP	SMBP	IP9D	IP6D	S	IP5D	SLPF	IP8D	IP3D	IP2D	RJP	IP4D	SLNF	TLP	SLMK	SEP	DUNF	IP4-ED	IP3-ED	IP1-ED	IP2-ED	;P7D	;P4D
EC-01	1057860.0	38605.00000000003	1096570.9999999984	1484507.9999999986	414688.0000000001	441840.99999999965	0	190617.99999999994	0	0	538.9999999999998	2419.9999999999995	893.9999999999998	0	2036.9999999999982	0	36.99999999999997	858.0000000000005	550.0000000000001	682.9999999999999	1273.000000000001	203.00000000000006	31.999999999999986	40.00000000000002	404.0000000000001	35.99999999999999	70.99999999999996	66.99999999999994	33.99999999999996	45.999999999999986	30.000000000000014	42.99999999999991	41.999999999999964	0	97.00000000000009	159.0	0	0	0	0	0	0	0
EC-01A	57520.00000000001	3431.0	60959.0	86388.0	12723.999999999998	40387.00000000001	0	3408.9999999999995	0	0	45.0	415.0	93.0	0	174.99999999999997	0	2.0	75.0	57.0	42.0	23.999999999999996	4.999999999999999	4.999999999999999	2.0	8.0	2.9999999999999996	5.999999999999999	2.0	2.9999999999999996	2.9999999999999996	2.9999999999999996	4.999999999999999	2.0	0	4.999999999999999	9.999999999999998	0	0	0	0	0	0	0
EC-01B	100129.0	5451.0	105593.00000000001	153762.99999999997	17680.999999999996	71599.0	0	8881.000000000002	0	0	66.00000000000001	230.0	203.99999999999997	0	225.00000000000009	0	2.999999999999999	316.99999999999994	117.0	501.0000000000001	48.999999999999986	3.999999999999999	6.999999999999998	11.999999999999996	97.99999999999997	5.000000000000001	34.00000000000001	7.999999999999998	5.000000000000001	11.999999999999996	5.999999999999998	1.9999999999999996	5.000000000000001	0	35.0	10.000000000000002	0	0	0	0	0	0	0
EC-01C	40880.0	1457.0000000000002	42350.0	62722.0	12483.999999999998	21543.0	0	6360.0	0	0	12.0	109.0	27.0	0	89.0	0	2.0	61.0	20.0	54.0	41.0	2.0	0.0	1.0	29.0	1.0	4.0	4.0	0.0	5.0	1.0	3.0	1.0	0	10.0	11.0	0	0	0	0	0	0	0
EC-01D	45573.0	1689.0	47264.999999999985	67885.0	12140.999999999998	23738.999999999996	0	9116.0	0	0	65.0	91.0	57.0	0	165.99999999999997	0	2.0	40.0	24.999999999999996	5.0	45.0	10.0	0.0	1.0	37.0	2.0	1.0	2.0	0.0	0.0	0.0	2.9999999999999996	1.0	0	6.999999999999999	11.0	0	0	0	0	0	0	0
EC-01E	25911.0	869.0	26783.0	40209.0	3613.0	19084.0	0	2824.0	0	0	21.0	44.0	20.0	0	150.0	0	3.0	22.0	19.0	4.0	19.0	2.0	0.0	3.0	54.99999999999999	1.0	0.0	1.0	0.0	4.0	0.0	3.0	1.0	0	9.0	5.0	0	0	0	0	0	0	0
EC-01F	42085.0	1173.0	43259.99999999999	60158.99999999999	12577.000000000002	19865.000000000004	0	9247.000000000004	0	0	29.999999999999993	63.00000000000001	29.999999999999993	0	112.00000000000003	0	2.0	24.000000000000007	17.0	10.0	43.00000000000001	14.999999999999996	1.0	0.0	25.0	1.0	3.000000000000001	1.0	2.0	1.0	1.0	1.0	1.0	0	4.0	6.000000000000002	0	0	0	0	0	0	0
EC-01G	47197.00000000001	1531.0	48733.0	67175.99999999999	19284.000000000004	18448.000000000004	0	9085.0	0	0	25.999999999999996	85.99999999999999	30.999999999999996	0	71.0	0	0.0	23.0	20.0	5.0	50.0	8.000000000000002	4.000000000000001	0.0	27.0	2.0000000000000004	0.0	4.000000000000001	2.0000000000000004	2.0000000000000004	1.0000000000000002	1.0000000000000002	5.0	0	1.0000000000000002	7.0	0	0	0	0	0	0	0
EC-01H	77524.0	2832.0000000000005	80361.99999999997	106334.99999999997	32975.99999999999	29540.000000000007	0	14311.0	0	0	26.0	193.9999999999999	73.99999999999996	0	106.00000000000001	0	2.0000000000000004	81.00000000000003	28.999999999999996	39.99999999999999	77.99999999999999	15.000000000000002	1.0000000000000002	6.0	15.000000000000002	1.0000000000000002	3.0	2.0000000000000004	3.0	2.0000000000000004	1.0000000000000002	1.0000000000000002	0.0	0	7.0	4.000000000000001	0	0	0	0	0	0	0
EC-01I	53357.0	1412.9999999999995	54771.99999999999	74158.99999999999	20070.0	19635.0	0	13192.0	0	0	14.999999999999996	140.0	28.999999999999996	0	95.0	0	1.0	29.999999999999993	16.0	9.0	55.00000000000001	13.999999999999998	0.0	0.0	25.999999999999996	4.0	1.0	2.9999999999999996	2.0	1.0	1.0	2.0	2.9999999999999996	0	0.0	6.999999999999999	0	0	0	0	0	0	0
